Id;Category;Manufacturer;Model;Prod. year;Gear box type;Leather interior;Fuel type;Engine volume;Drive wheels;Cylinders;Mileage;Doors;Airbags;Wheel;Color;Sales Fee;price
15038;Coupe;MERCEDES-BENZ;C 63 AMG;2012;Automatic;Yes;Petrol;6.2;Rear;8;92483 km;2;12;Left wheel;Grey;1807;46728
17059;Hatchback;TOYOTA;Prius;2014;Automatic;Yes;Hybrid;1.8;Front;4;140414 km;4;12;Left wheel;White;308;188
4959;Sedan;BMW;M5;2008;Tiptronic;Yes;Petrol;5;Rear;10;113473 km;4;10;Left wheel;White;2606;45000
7444;Hatchback;MAZDA;Demio evropuli;2003;Manual;No;CNG;1.4;Front;4;185000 km;4;4;Left wheel;Blue;-;7213
10893;Jeep;CHEVROLET;Orlando;2015;Automatic;Yes;LPG;2;Front;4;109497 km;4;4;Left wheel;White;765;24283
15996;Sedan;TOYOTA;Prius;2015;Automatic;Yes;Hybrid;1.8;Front;4;104795 km;4;12;Left wheel;White;353;2038
14411;Sedan;HYUNDAI;Sonata;2015;Automatic;Yes;LPG;2;Front;4;413499 km;4;4;Left wheel;Orange;765;9722
7279;Jeep;CHEVROLET;Orlando;2016;Automatic;Yes;LPG;2;Front;4;114058 km;4;4;Left wheel;White;891;27924
5927;Sedan;NISSAN;Altima;2015;Automatic;No;Petrol;2.5;Rear;4;14500 km;4;10;Left wheel;Black;-;23207
11757;Hatchback;LEXUS;CT 200h;2015;Automatic;Yes;Hybrid;1.8;Front;4;115347 km;4;0;Left wheel;Grey;353;470
15839;Sedan;MERCEDES-BENZ;S 420;1986;Automatic;Yes;Petrol;4.2;Rear;8;260000 km;4;0;Left wheel;White;-;10976
13212;Sedan;TOYOTA;Prius;2008;Automatic;No;Hybrid;1.5;Front;4;248383 km;4;12;Left wheel;Blue;843;11400
16163;Sedan;HYUNDAI;Sonata;2014;Automatic;Yes;Petrol;2.4;Front;4;0 km;4;12;Left wheel;Blue;749;1803
6177;Coupe;FIAT;500 Sport;2012;Manual;Yes;Petrol;1.4;Front;4;120000 km;2;8;Left wheel;Red;-;12544
18977;Hatchback;LEXUS;CT 200h;2013;Automatic;Yes;Hybrid;1.8;Front;4;188194 km;4;0;Left wheel;Black;585;1725
2731;Jeep;TOYOTA;Highlander;2008;Automatic;Yes;Hybrid;3.3;4x4;6;277405 km;4;12;Left wheel;Grey;1750;627
412;Microbus;FORD;Transit;2007;Manual;No;Diesel;2.2 Turbo;Front;4;280000 km;4;2;Left wheel;White;1408;15991
16175;Jeep;HYUNDAI;Santa FE;2014;Automatic;Yes;Diesel;2;Front;4;175126 km;4;4;Left wheel;Grey;639;35579
7698;Sedan;BMW;320;2002;Tiptronic;No;Petrol;2.2;Rear;6;217777 km;4;4;Right-hand drive;Silver;-;8154
18562;Hatchback;CHEVROLET;Volt;2014;Automatic;Yes;Hybrid;1.4;Front;4;138491 km;4;0;Left wheel;Black;259;3763
9606;Sedan;MERCEDES-BENZ;E 350;2010;Automatic;Yes;Petrol;3.5;4x4;6;229904 km;4;12;Left wheel;Black;1399;470
17124;Jeep;TOYOTA;RAV 4;2019;Automatic;Yes;Hybrid;2.5;4x4;4;20955 km;4;12;Left wheel;White;607;46101
7203;Hatchback;SUBARU;Forester XT;2015;Automatic;Yes;Petrol;2.0 Turbo;4x4;4;61230 km;4;10;Left wheel;Red;765;22110
3842;Sedan;HYUNDAI;Elantra;2010;Automatic;Yes;Petrol;1.6;Front;4;52418 km;4;4;Left wheel;White;687;18240
13303;Sedan;BMW;530;2004;Tiptronic;Yes;Petrol;3;Rear;6;0 km;4;10;Left wheel;Black;-;21953
3948;Sedan;BMW;550 F10;2012;Tiptronic;Yes;Petrol;4.4 Turbo;Rear;8;168000 km;4;12;Left wheel;White;1308;26657
5418;Jeep;SSANGYONG;REXTON;2009;Automatic;Yes;Diesel;2.7;Front;4;163240 km;4;4;Left wheel;Silver;1273;20532
13337;Hatchback;SUZUKI;SX4;2006;Automatic;No;Petrol;1.5;Front;4;142000 km;4;4;Right-hand drive;Orange;-;10036
14019;Sedan;MERCEDES-BENZ;C 250;2013;Tiptronic;Yes;Petrol;1.8;Rear;4;120000 km;4;12;Left wheel;White;585;30734
2298;Coupe;VOLVO;C30 2010;2010;Manual;Yes;Petrol;2.5 Turbo;Front;5;160000 km;2;6;Left wheel;Black;-;15367
7440;Sedan;MERCEDES-BENZ;A 160;2001;Automatic;No;Petrol;1.6;Front;4;0 km;4;4;Right-hand drive;Black;-;5700
9017;Hatchback;MITSUBISHI;Colt;2011;Automatic;No;Petrol;1.3;Front;4;74000 km;4;2;Right-hand drive;White;1236;6899
10524;Jeep;AUDI;7;2014;Automatic;Yes;Petrol;3;4x4;6;85328 km;4;12;Left wheel;Black;915;2666
4566;Jeep;BMW;X5;2008;Tiptronic;Yes;Petrol;4.8;4x4;12;230000 km;4;12;Left wheel;Black;-;30734
8118;Sedan;HYUNDAI;Elantra;2010;Automatic;Yes;Petrol;1.6;Front;4;132967 km;4;4;Left wheel;Grey;687;13476
3390;Sedan;HYUNDAI;Elantra;2014;Automatic;Yes;Petrol;1.6;Front;4;179664 km;4;4;Left wheel;Silver;528;18500
5090;Hatchback;TOYOTA;Prius;2013;Automatic;Yes;Hybrid;1.8;Front;4;133926 km;4;12;Left wheel;Red;585;941
18077;Sedan;VOLKSWAGEN;Jetta;2015;Automatic;Yes;Diesel;1.8;Front;4;63792 km;4;12;Left wheel;Black;697;6272
17744;Sedan;CHEVROLET;Cruze;2015;Tiptronic;Yes;Petrol;1.4 Turbo;Front;4;89000 km;4;10;Left wheel;Black;562;17000
16621;Sedan;FORD;Escape;2008;Automatic;Yes;Hybrid;0.4;Front;4;209843 km;4;0;Left wheel;Grey;289;188
15889;Hatchback;TOYOTA;Prius;2010;Automatic;No;Hybrid;1.8;Front;4;241000 km;4;4;Left wheel;White;761;15367
7745;Sedan;MERCEDES-BENZ;C 230 kompresor;2004;Manual;Yes;Petrol;1.8 Turbo;Rear;4;197657 km;4;6;Left wheel;Black;1516;10820
11914;Jeep;FORD;Explorer;2016;Automatic;Yes;Petrol;2.3;Front;4;63992 km;4;4;Left wheel;White;1011;89103
2735;Universal;MERCEDES-BENZ;E 220;2007;Automatic;No;Diesel;2.2 Turbo;Rear;4;220000 km;4;4;Left wheel;Silver;-;20698
10265;Cabriolet;ROLLS-ROYCE;Phantom;1939;Automatic;Yes;Petrol;5;Rear;8;129000 km;4;0;Left wheel;Silver;-;157
5252;Sedan;CHEVROLET;Impala;2018;Automatic;Yes;Petrol;3.6;Front;6;71194 km;4;12;Left wheel;Silver;1872;3293
4362;Sedan;HYUNDAI;Sonata;2013;Automatic;Yes;Hybrid;2.4;Front;4;216208 km;4;0;Left wheel;Blue;751;1176
14278;Sedan;HYUNDAI;Elantra;2017;Automatic;Yes;LPG;1.6;Front;4;120000 km;4;4;Left wheel;Silver;831;20698
413;Sedan;TOYOTA;Camry;2014;Automatic;Yes;Hybrid;2.5;Front;4;179381 km;4;12;Left wheel;Black;394;11133
9374;Sedan;FORD;F150;2014;Automatic;Yes;Petrol;5;Rear;8;170541 km;4;12;Left wheel;Silver;1466;2352
8280;Sedan;BMW;525 ///M;2001;Tiptronic;No;Petrol;2.5;Rear;6;76550 km;4;6;Right-hand drive;Grey;-;10663
14382;Jeep;BMW;X5;2009;Automatic;Yes;Diesel;3;4x4;6;229854 km;4;0;Left wheel;Green;1405;78
16769;Sedan;HYUNDAI;Sonata;2015;Tiptronic;Yes;Petrol;2.4;Front;4;91200 km;4;6;Left wheel;Blue;900;23521
10491;Sedan;HYUNDAI;Sonata;2014;Automatic;Yes;LPG;2;Front;4;679836 km;4;4;Left wheel;Orange;639;8467
6332;Sedan;BMW;318;2003;Tiptronic;No;Petrol;2;Rear;4;0 km;4;6;Right-hand drive;Blue;-;9095
12614;Hatchback;TOYOTA;Aqua;2012;Automatic;Yes;Hybrid;1.5;Front;4;120800 km;4;4;Left wheel;White;503;23110
4137;Sedan;TOYOTA;Prius;2013;Variator;Yes;Hybrid;1.8;Front;4;100000 km;4;8;Left wheel;White;-;45
3085;Hatchback;LEXUS;CT 200h;2012;Automatic;Yes;Hybrid;1.8;Front;4;149981 km;4;0;Left wheel;Grey;586;251
18641;Hatchback;TOYOTA;Aqua;2015;Automatic;Yes;Petrol;1.5;Front;4;82000 km;4;4;Left wheel;White;595;16960
14119;Hatchback;VAZ;2109;1990;Manual;No;Petrol;1.6;Front;4;350000 km;4;11;Left wheel;Grey;-;1568
5063;Coupe;BMW;428;2014;Automatic;Yes;Petrol;2;4x4;4;107003 km;2;12;Left wheel;White;639;5175
7501;Coupe;HYUNDAI;Genesis;2010;Automatic;Yes;Petrol;2;Front;4;100000 km;4;4;Left wheel;Grey;836;16088
16379;Hatchback;HYUNDAI;Accent;2011;Automatic;Yes;Diesel;1.6;Front;4;32800 km;4;4;Left wheel;Black;583;10923
4126;Hatchback;TOYOTA;Prius;2011;Automatic;Yes;Hybrid;1.8;Front;4;200200 km;4;12;Left wheel;Silver;645;2979
16806;Sedan;CHEVROLET;Malibu LT;2016;Automatic;No;Petrol;1.4 Turbo;Front;4;17961 km;4;8;Left wheel;Black;650;19287
13061;Sedan;HYUNDAI;Sonata;2015;Automatic;Yes;LPG;2;Front;4;429379 km;4;4;Left wheel;Orange;765;9252
17834;Jeep;LEXUS;RX 450;2010;Automatic;Yes;Hybrid;3.5;4x4;6;167222 km;4;12;Left wheel;Black;1399;5018
2382;Sedan;MAZDA;CX-9;2011;Automatic;Yes;Petrol;3.7;4x4;6;271904 km;4;12;Left wheel;Silver;1234;706
12590;Sedan;MERCEDES-BENZ;C 32 AMG;2001;Tiptronic;Yes;Petrol;3.2 Turbo;Rear;6;247000 km;4;8;Left wheel;Black;-;7527
15278;Hatchback;TOYOTA;Prius;2012;Variator;No;Hybrid;1.8;Front;4;136000 km;4;8;Left wheel;Grey;-;24462
1779;Hatchback;HONDA;FIT Hbrid;2012;Automatic;No;Hybrid;1.3;Front;4;96000 km;4;4;Right-hand drive;White;-;11760
4572;Sedan;VOLKSWAGEN;Passat;2013;Tiptronic;Yes;Petrol;2.5;Front;5;145600 km;4;0;Left wheel;White;779;10976
18164;Sedan;HYUNDAI;Sonata;2018;Automatic;Yes;Petrol;2;Front;4;13715 km;4;4;Left wheel;Blue;1079;57990
14666;Jeep;SSANGYONG;Actyon;2016;Automatic;Yes;Petrol;1.6;Front;4;37045 km;4;4;Left wheel;Blue;730;44457
13367;Sedan;TOYOTA;Camry;2013;Automatic;Yes;Hybrid;2.5;Front;4;124912 km;4;12;Left wheel;White;779;3763
829;Pickup;NISSAN;X-Trail;2018;Automatic;Yes;Petrol;2.5;4x4;12;18794 km;>5;12;Left wheel;Black;-;30000
16071;Hatchback;TOYOTA;Prius;2013;Tiptronic;No;Hybrid;1.5;Front;4;91400 km;4;12;Left wheel;Silver;502;16935
8686;Coupe;BMW;650;2015;Automatic;Yes;Petrol;4.4;Rear;8;92213 km;2;12;Left wheel;White;1578;30734
13033;Goods wagon;MERCEDES-BENZ;Vito;2007;Manual;No;Diesel;2.2 Turbo;Rear;4;385000 km;4;4;Left wheel;White;-;19444
17891;Sedan;HYUNDAI;Sonata SE;2015;Tiptronic;No;Petrol;2.4;Front;4;84000 km;4;12;Left wheel;Silver;900;17249
7454;Hatchback;HONDA;FIT;2003;Variator;No;Petrol;1.3;Front;4;161000 km;4;2;Right-hand drive;White;-;1900
14196;Hatchback;TOYOTA;Prius;2010;Variator;Yes;Hybrid;1.8;Front;4;512000 km;4;12;Left wheel;Silver;-;18189
3013;Sedan;TOYOTA;Aqua s;2014;Automatic;No;Hybrid;1.5;Front;4;133000 km;4;5;Right-hand drive;Silver;1266;11447
16035;Jeep;MITSUBISHI;Airtrek;2002;Tiptronic;No;Petrol;2.0 Turbo;4x4;4;168000 km;4;4;Right-hand drive;White;-;8781
18528;Jeep;MERCEDES-BENZ;GLE 350;2017;Automatic;Yes;Petrol;3.5;Rear;6;55403 km;4;0;Left wheel;Black;1714;7527
13244;Sedan;TOYOTA;Prius;2011;Automatic;No;Hybrid;1.8;Front;4;188800 km;4;10;Left wheel;Silver;645;13230
14999;Jeep;SSANGYONG;REXTON;2015;Automatic;Yes;Diesel;2;Front;4;49253 km;4;4;Left wheel;Grey;765;53580
1242;Jeep;MITSUBISHI;Pajero;2000;Automatic;No;CNG;3.5;4x4;6;287745 km;4;4;Right-hand drive;Silver;-;7840
18927;Jeep;HYUNDAI;Santa FE;2016;Automatic;Yes;Diesel;2;Front;4;121121 km;4;4;Left wheel;White;891;43049
3441;Hatchback;HONDA;FIT;2010;Automatic;No;Petrol;1.3;Front;4;93000 km;4;2;Right-hand drive;Blue;-;12231
5276;Sedan;HYUNDAI;Sonata;2013;Automatic;Yes;Petrol;2;Front;4;126655 km;4;4;Left wheel;Grey;640;20883
11211;Sedan;TOYOTA;Prius;2010;Automatic;Yes;Petrol;1.8;Front;4;184000 km;4;6;Left wheel;Grey;761;15994
531;Sedan;FORD;Fusion;2014;Automatic;Yes;Hybrid;2;Front;4;186048 km;4;0;Left wheel;Black;333;862
10760;Sedan;TOYOTA;Camry;2013;Automatic;Yes;Hybrid;2.5;Front;4;232032 km;4;12;Left wheel;Silver;779;392
14592;Sedan;HONDA;Civic;2017;Automatic;Yes;Petrol;1.5;Front;4;36340 km;4;4;Left wheel;Grey;784;58172
2118;Sedan;HYUNDAI;Sonata;2015;Automatic;Yes;LPG;2;Front;4;432994 km;4;4;Left wheel;Orange;765;12544
16749;Sedan;HYUNDAI;Elantra;2019;Automatic;Yes;Petrol;2;Front;4;16013 km;4;12;Left wheel;Grey;1077;1176
8604;Sedan;BMW;525;2001;Tiptronic;No;Petrol;2.5;Rear;6;195000 km;4;8;Right-hand drive;Silver;-;10036
2422;Sedan;TOYOTA;Camry;2014;Tiptronic;No;Petrol;2.5;Front;4;58400 km;4;12;Left wheel;Grey;777;22894
16460;Hatchback;TOYOTA;Aqua;2012;Automatic;Yes;Hybrid;1.5;Front;4;58405 km;4;4;Left wheel;Silver;503;17663
16266;Jeep;PORSCHE;Cayenne s;2004;Tiptronic;No;Petrol;4.5 Turbo;4x4;6;165000 km;4;0;Left wheel;Silver;-;11290
9357;Coupe;HYUNDAI;Genesis;2010;Automatic;Yes;Petrol;2;Front;4;104022 km;4;4;Left wheel;White;836;19613
6340;Sedan;CHEVROLET;Impala;2014;Automatic;Yes;Petrol;3.6;Front;6;0 km;4;12;Left wheel;Silver;1080;392
3130;Hatchback;VOLKSWAGEN;GTI;2015;Automatic;Yes;Petrol;0.2;Front;4;104618 km;4;12;Left wheel;White;155;2666
11499;Hatchback;TOYOTA;Aqua;2013;Variator;No;Hybrid;1.5;Front;4;100000 km;4;6;Right-hand drive;White;-;14113
18300;Sedan;TOYOTA;Camry;2013;Automatic;Yes;Hybrid;2.5;Front;4;225510 km;4;12;Left wheel;White;779;314
13100;Sedan;TOYOTA;Camry;2013;Automatic;Yes;Petrol;2.5;Front;4;185699 km;4;12;Left wheel;White;779;2352
5664;Hatchback;NISSAN;Tiida;2006;Variator;Yes;Petrol;1.5;Front;4;180000 km;4;2;Right-hand drive;Silver;-;9095
4309;Hatchback;MERCEDES-BENZ;A 190;2001;Tiptronic;Yes;LPG;1.9;Front;4;200000 km;4;4;Left wheel;Black;-;7527
599;Coupe;BMW;328;2010;Tiptronic;Yes;Petrol;3;4x4;6;157000 km;2;8;Left wheel;Black;-;22894
6715;Jeep;MERCEDES-BENZ;ML 350;2012;Automatic;Yes;Diesel;3;4x4;6;271701 km;4;12;Left wheel;White;919;26657
14329;Jeep;HYUNDAI;Santa FE;2016;Automatic;Yes;Diesel;2;Front;4;113588 km;4;4;Left wheel;Blue;891;42052
19076;Minivan;HYUNDAI;H1;2010;Automatic;Yes;Diesel;2.5;Front;4;351108 km;4;4;Left wheel;Silver;1024;9888
12520;Minivan;NISSAN;Quest;2013;Automatic;Yes;CNG;3.5;Front;6;45000 km;>5;12;Left wheel;White;-;34497
14964;Jeep;AUDI;7;2011;Tiptronic;Yes;Diesel;3;4x4;6;190000 km;4;12;Left wheel;Grey;-;43000
18271;Sedan;AUDI;A4;2010;Tiptronic;Yes;Petrol;2.0 Turbo;4x4;4;167000 km;4;4;Left wheel;Blue;-;17249
19180;Sedan;HYUNDAI;Sonata;2020;Automatic;Yes;LPG;2;Front;4;5305 km;4;4;Left wheel;Silver;1076;63886
10904;Hatchback;HYUNDAI;Elantra;2014;Tiptronic;No;Petrol;2;Front;4;110000 km;4;6;Left wheel;White;639;18817
5630;Jeep;SSANGYONG;Actyon;2017;Automatic;Yes;Petrol;1.6;Front;4;31139 km;4;4;Left wheel;White;831;38311
2855;Jeep;NISSAN;X-Terra;2012;Tiptronic;No;Petrol;4;4x4;6;203200 km;4;6;Left wheel;Grey;1197;23521
8030;Sedan;MERCEDES-BENZ;B 220;1998;Manual;No;Petrol;1.8;Front;4;23000 km;4;4;Left wheel;Black;-;5000
16301;Universal;HONDA;FIT;2017;Automatic;Yes;Hybrid;1.5;Front;4;22099 km;4;4;Left wheel;Blue;382;41259
12884;Jeep;SSANGYONG;REXTON;2013;Automatic;Yes;Diesel;2;Front;4;95430 km;4;4;Left wheel;Silver;640;34419
19113;Sedan;TOYOTA;Camry;2016;Automatic;Yes;Petrol;2.5;Front;4;151443 km;4;12;Left wheel;Grey;1091;13172
18891;Sedan;HONDA;Civic;2016;Automatic;Yes;Petrol;1.5;Front;4;54631 km;4;4;Left wheel;Black;690;37959
18337;Sedan;HYUNDAI;Sonata;2012;Tiptronic;No;Hybrid;2.4;Front;4;86000 km;4;10;Left wheel;White;-;80
1192;Coupe;MERCEDES-BENZ;CLA 250;2015;Tiptronic;Yes;Petrol;2.0 Turbo;4x4;5;43000 km;4;10;Left wheel;Red;765;34184
4402;Hatchback;MERCEDES-BENZ;B 170;2007;Automatic;Yes;Petrol;1.7;Front;4;160000 km;4;12;Left wheel;White;-;13485
9253;Sedan;KIA;Optima;2014;Automatic;Yes;Petrol;2;Front;4;32193 km;4;4;Left wheel;Black;638;16621
6949;Jeep;JEEP;Compass;2012;Automatic;Yes;Petrol;2.4;Front;4;91810 km;4;4;Left wheel;Silver;753;26262
9123;Hatchback;FORD;Fiesta;2014;Automatic;No;Petrol;1.6;Front;4;56000 km;4;10;Left wheel;Beige;528;12858
2948;Sedan;CHEVROLET;Cruze;2017;Automatic;No;Petrol;1.4 Turbo;Front;4;46800 km;4;6;Left wheel;Black;738;22894
10873;Sedan;KIA;Optima;2017;Tiptronic;Yes;Petrol;2.4;Front;4;30400 km;4;10;Left wheel;White;1202;23521
17420;Jeep;TOYOTA;4Runner;2018;Automatic;Yes;Petrol;4;4x4;6;58971 km;4;12;Left wheel;Silver;2070;470
16924;Sedan;HYUNDAI;Sonata;2015;Automatic;Yes;LPG;2;Front;4;619021 km;4;4;Left wheel;White;765;10976
14475;Sedan;TOYOTA;Camry;2019;Automatic;Yes;Hybrid;2.5;Front;4;30504 km;4;12;Left wheel;Silver;607;23207
14439;Sedan;HYUNDAI;Sonata;2014;Automatic;Yes;LPG;2;Front;4;346470 km;4;4;Left wheel;Silver;639;11604
4250;Minivan;NISSAN;Quest 2016;2016;Automatic;No;Petrol;3.5 Turbo;Front;6;38400 km;4;6;Left wheel;Black;-;47042
6910;Sedan;HYUNDAI;Elantra;2016;Automatic;Yes;LPG;1.6;Front;4;31151 km;4;4;Left wheel;Silver;730;18503
9407;Sedan;HYUNDAI;Elantra;2010;Automatic;Yes;Petrol;1.6;Front;4;104282 km;4;4;Left wheel;Silver;687;15718
18349;Jeep;LEXUS;RX 350;2010;Automatic;Yes;Petrol;3.5;4x4;6;182618 km;4;12;Left wheel;White;1399;941
612;Sedan;AUDI;A4;2014;Automatic;Yes;Petrol;2;Front;4;162032 km;4;0;Left wheel;Black;639;706
4003;Jeep;CHEVROLET;Captiva;2007;Automatic;Yes;Diesel;2;Front;4;109063 km;4;4;Left wheel;Black;1282;7683
8797;Sedan;DODGE;Ramcharger;2019;Automatic;Yes;Petrol;3.6;Rear;6;22293 km;4;12;Left wheel;Grey;1869;16935
7433;Hatchback;TOYOTA;Prius;2014;Automatic;Yes;Hybrid;1.8;Front;4;270410 km;4;12;Left wheel;White;308;941
8880;Jeep;PORSCHE;Cayenne;2013;Tiptronic;Yes;Petrol;3.6 Turbo;4x4;6;80000 km;4;8;Left wheel;Black;-;65858
15030;Jeep;TOYOTA;Highlander XLE;2014;Tiptronic;Yes;Petrol;3.5;4x4;6;130000 km;4;12;Left wheel;White;-;47042
14875;Jeep;TOYOTA;Sequoia;2011;Automatic;Yes;Petrol;5.7;4x4;8;223578 km;4;12;Left wheel;Silver;1855;3763
11814;Hatchback;OPEL;Astra H;2007;Manual;No;Petrol;1.6;Front;4;190000 km;4;6;Left wheel;Silver;1047;9095
15295;Sedan;HONDA;Accord;2012;Automatic;Yes;Petrol;2.4;Front;4;201736 km;4;12;Left wheel;Black;753;392
8367;Jeep;SSANGYONG;Actyon;2016;Automatic;Yes;Petrol;1.6;Front;4;18498 km;4;4;Left wheel;Blue;730;34419
13692;Sedan;MERCEDES-BENZ;E 350;2014;Automatic;Yes;Diesel;3.5;4x4;6;219030 km;4;12;Left wheel;Black;1053;29793
18990;Sedan;HYUNDAI;Sonata;2011;Automatic;Yes;LPG;2;Front;4;45600 km;4;4;Left wheel;Silver;707;7527
14357;Jeep;INFINITI;FX35;2003;Tiptronic;Yes;Petrol;3.5;4x4;4;140000 km;4;6;Left wheel;Silver;-;15053
9790;Jeep;HYUNDAI;Santa FE;2014;Automatic;Yes;Diesel;2;Front;4;45300 km;4;4;Left wheel;Blue;639;30367
10639;Sedan;SUBARU;Legacy;2002;Automatic;Yes;Petrol;3;4x4;6;187000 km;4;4;Right-hand drive;Silver;-;7213
2279;Sedan;TOYOTA;Camry;2015;Automatic;Yes;Petrol;2.5;Front;4;0 km;4;12;Left wheel;Black;934;2038
6528;Sedan;FORD;Fusion;2014;Automatic;Yes;Hybrid;2;Front;4;0 km;4;0;Left wheel;Silver;333;1019
1532;Jeep;SSANGYONG;REXTON;2011;Automatic;Yes;Diesel;2;Front;4;200241 km;4;4;Left wheel;Black;707;20005
15611;Sedan;FORD;Focus;2017;Automatic;No;Petrol;1.0 Turbo;Front;3;33600 km;4;8;Left wheel;Black;552;18817
8249;Sedan;TOYOTA;Camry;2014;Automatic;Yes;Petrol;2.5;Front;4;0 km;4;12;Left wheel;White;777;392
7195;Coupe;BMW;328 DRIFT CAR;1995;Manual;No;Petrol;3.1;Rear;6;177000 km;2;0;Left wheel;Red;-;8781
18298;Sedan;HYUNDAI;Elantra;2019;Automatic;Yes;Petrol;2;Front;4;27368 km;4;12;Left wheel;Silver;1077;14740
3442;Sedan;HYUNDAI;Sonata;2012;Automatic;Yes;Petrol;2;Front;4;187794 km;4;4;Left wheel;Golden;642;15850
10198;Hatchback;HONDA;FIT;2010;Variator;No;Petrol;1.3;Front;4;9200 km;4;2;Right-hand drive;Blue;1486;7213
2899;Sedan;TOYOTA;Vitz;2007;Automatic;No;Petrol;1;Front;3;11111 km;4;4;Right-hand drive;Silver;-;10036
5256;Sedan;TOYOTA;Camry;2012;Automatic;Yes;Hybrid;2.5;Front;4;314373 km;4;12;Left wheel;Grey;781;392
