Id;Category;Manufacturer;Model;Prod. year;Gear box type;Leather interior;Fuel type;Engine volume;Drive wheels;Cylinders;Mileage;Doors;Airbags;Wheel;Color;Sales Fee
17632;Jeep;MITSUBISHI;Pajero Mini 2010 წლიანი;2010;Manual;No;Petrol;0.7 Turbo;4x4;4;160000 km;2;4;Right-hand drive;Black;841
16494;Sedan;KIA;Optima;2014;Automatic;Yes;Hybrid;2.4;Front;4;172149 km;4;12;Left wheel;White;382
8136;Hatchback;HONDA;FIT;2011;Variator;No;Petrol;1.3;Front;4;118000 km;4;2;Right-hand drive;Black;1236
12746;Jeep;SUZUKI;Vitara;2018;Manual;No;Petrol;1.6;4x4;4;48600 km;4;6;Left wheel;White;-
7351;Hatchback;TOYOTA;Prius;2014;Automatic;Yes;Hybrid;1.8;Front;4;146019 km;4;12;Left wheel;White;308
14264;Jeep;SUBARU;Forester;2014;Automatic;No;Petrol;2.5;4x4;4;55000 km;4;12;Left wheel;Black;777
7810;Hatchback;LEXUS;CT 200h;2015;Automatic;Yes;Hybrid;1.8;Front;4;94949 km;4;0;Left wheel;White;353
8693;Hatchback;TOYOTA;Aqua;2014;Automatic;No;Hybrid;1.5;Front;4;136700 km;4;4;Right-hand drive;Silver;1266
2631;Sedan;MERCEDES-BENZ;E 300;2017;Automatic;Yes;Petrol;2;Rear;4;26802 km;4;12;Left wheel;Black;1017
7337;Jeep;LEXUS;GX 460;2012;Automatic;Yes;Petrol;4.6;4x4;8;255406 km;4;0;Left wheel;Black;1363
16605;Sedan;TOYOTA;Aqua;2014;Automatic;No;Hybrid;1.5;Front;4;102000 km;4;2;Right-hand drive;Silver;1266
10262;Jeep;MAZDA;CX-7;2011;Automatic;Yes;Petrol;2.3;4x4;4;184576 km;4;12;Left wheel;Black;800
9505;Sedan;TOYOTA;Camry;2012;Tiptronic;No;Petrol;2.5;Front;6;10000 km;4;16;Left wheel;White;781
15045;Sedan;CHEVROLET;Malibu;2014;Automatic;Yes;Petrol;2;Front;4;99807 km;4;4;Left wheel;Black;639
2690;Sedan;FORD;Fusion;2017;Automatic;Yes;Hybrid;2;Front;4;75597 km;4;12;Left wheel;White;481
12781;Sedan;KIA;Optima;2013;Automatic;Yes;Petrol;2.4;Front;4;237877 km;4;12;Left wheel;Blue;751
7170;Universal;HYUNDAI;H1;2017;Automatic;Yes;Diesel;2.5;Front;4;188000 km;4;4;Left wheel;Silver;1249
17369;Jeep;KIA;Sportage;2015;Automatic;Yes;Petrol;2.4;4x4;4;208213 km;4;12;Left wheel;Blue;900
6958;Universal;RENAULT;Megane;2006;Manual;No;Diesel;1.5 Turbo;Front;4;250000 km;4;4;Left wheel;Silver;-
11673;Sedan;HONDA;Civic;2015;Automatic;Yes;Petrol;1.8;Front;4;100658 km;4;4;Left wheel;Silver;697
18256;Sedan;MERCEDES-BENZ;E 350;2010;Automatic;Yes;Diesel;3.5;4x4;6;189530 km;4;12;Left wheel;Black;1399
4114;Minivan;HYUNDAI;H1;2012;Automatic;Yes;Diesel;2.5;Front;4;62234 km;4;4;Left wheel;Silver;781
6884;Jeep;MERCEDES-BENZ;G 550;2016;Automatic;Yes;Petrol;4;4x4;8;74990 km;4;12;Left wheel;White;1694
6944;Hatchback;HONDA;Civic;2001;Variator;No;Petrol;1.5;Front;4;210000 km;4;2;Right-hand drive;Silver;-
2484;Sedan;CHEVROLET;Cruze;2016;Automatic;No;Petrol;1.4;Front;4;182880 km;4;8;Left wheel;Black;650
12059;Sedan;SUZUKI;SX4;2011;Automatic;Yes;Petrol;2;Front;4;151357 km;4;0;Left wheel;White;707
3340;Jeep;SSANGYONG;REXTON;2015;Automatic;Yes;Diesel;2;Front;4;59077 km;4;4;Left wheel;Black;765
7244;Coupe;MERCEDES-BENZ;E 400;2017;Automatic;Yes;Petrol;3;Rear;6;36866 km;2;12;Left wheel;Silver;1481
538;Jeep;HYUNDAI;Tucson;2014;Tiptronic;Yes;Petrol;2.4;4x4;4;128000 km;4;8;Left wheel;Red;749
17033;Sedan;TOYOTA;Highlander;2010;Automatic;Yes;Hybrid;3.3;4x4;6;226198 km;4;12;Left wheel;Green;1324
2492;Jeep;LEXUS;GX 460;2012;Automatic;Yes;Petrol;4.6;4x4;8;189704 km;4;0;Left wheel;Grey;1363
9127;Sedan;BMW;535;2011;Automatic;Yes;Petrol;3;4x4;6;163739 km;4;12;Left wheel;White;1018
1852;Hatchback;TOYOTA;Aqua;2012;Variator;No;Hybrid;1.5;Front;4;125000 km;4;2;Right-hand drive;Red;1268
2634;Hatchback;BMW;316;1995;Automatic;No;Petrol;1.6;Rear;4;250000 km;2;1;Left wheel;Black;-
13985;Jeep;CHEVROLET;Orlando;2015;Automatic;Yes;Diesel;1.6;Front;4;138541 km;4;4;Left wheel;Silver;629
14309;Hatchback;TOYOTA;Prius;2009;Automatic;No;Hybrid;1.8;Front;4;167219 km;4;8;Left wheel;White;878
5143;Sedan;FORD;Fusion;2016;Automatic;Yes;Hybrid;2;Front;4;194974 km;4;0;Left wheel;Black;431
12940;Sedan;HYUNDAI;Elantra LIMITEDI;2014;Tiptronic;No;Petrol;1.8;Front;4;94400 km;4;10;Left wheel;Black;584
2445;Sedan;TOYOTA;Corolla;2014;Tiptronic;Yes;Petrol;1.8;Front;6;75000 km;4;10;Left wheel;Black;584
5204;Jeep;TOYOTA;RAV 4;2015;Automatic;No;Petrol;2.5;4x4;4;0 km;4;0;Left wheel;Black;934
11309;Sedan;FORD;Focus;2015;Automatic;No;Petrol;2;Front;4;72114 km;4;0;Left wheel;White;765
4873;Sedan;TOYOTA;Camry;2011;Automatic;Yes;Hybrid;2.5;Front;4;109000 km;4;6;Left wheel;Black;-
10713;Sedan;MAZDA;1300;2012;Automatic;Yes;Petrol;2;Front;4;301866 km;4;12;Left wheel;Black;642
9846;Jeep;SUBARU;XV;2014;Automatic;Yes;Petrol;2;4x4;4;163669 km;4;0;Left wheel;White;639
16698;Sedan;TOYOTA;Camry;2018;Tiptronic;Yes;Petrol;2.5;Front;4;40000 km;4;12;Left wheel;Black;-
16047;Hatchback;HYUNDAI;I30;2012;Automatic;Yes;Diesel;1.6;Front;4;183380 km;4;4;Left wheel;Grey;531
2310;Sedan;HYUNDAI;Elantra;2011;Automatic;Yes;Petrol;1.6;Front;4;104090 km;4;4;Left wheel;White;583
11602;Sedan;VOLKSWAGEN;Jetta სასწაფოდ;2011;Tiptronic;Yes;Petrol;2.5;Front;4;134400 km;4;6;Left wheel;Black;862
15158;Jeep;LEXUS;RX 450;2013;Automatic;Yes;Hybrid;3.5;Front;6;138038 km;4;12;Left wheel;White;1055
16370;Hatchback;CHEVROLET;Volt;2013;Automatic;Yes;Hybrid;1.4;Front;4;126400 km;4;6;Left wheel;Black;474
3103;Jeep;CHEVROLET;Orlando;2012;Automatic;Yes;Diesel;2;Front;4;198000 km;4;4;Left wheel;Silver;642
1757;Sedan;TOYOTA;Camry Se;2013;Tiptronic;Yes;Petrol;2.5;Front;4;124000 km;4;6;Left wheel;Black;779
10966;Sedan;TOYOTA;Tacoma;2014;Automatic;Yes;Petrol;4;Rear;6;0 km;4;12;Left wheel;Silver;1190
13415;Sedan;TOYOTA;Prius;2013;Automatic;No;Hybrid;1.8;Front;4;136600 km;4;8;Left wheel;White;-
600;Sedan;MERCEDES-BENZ;C 180;2000;Tiptronic;No;Petrol;2;Rear;4;136000 km;4;6;Right-hand drive;Blue;-
14911;Sedan;VOLKSWAGEN;Passat tdi sel;2012;Tiptronic;Yes;Diesel;2.0 Turbo;Front;4;116000 km;4;8;Left wheel;Silver;642
9652;Jeep;MITSUBISHI;Pajero 2.5diezel;1992;Automatic;No;Diesel;2.5 Turbo;4x4;4;111111 km;4;2;Left wheel;Black;-
17148;Sedan;BMW;525;2000;Tiptronic;Yes;Petrol;2.5;Rear;6;190000 km;4;4;Left wheel;Green;-
1722;Hatchback;TOYOTA;Prius;2011;Automatic;Yes;Hybrid;1.8;Front;4;197328 km;4;12;Left wheel;White;645
14431;Sedan;TOYOTA;Prius;2013;Automatic;No;Petrol;1.8;Front;4;149000 km;4;0;Left wheel;Black;585
17742;Sedan;TOYOTA;Prius;2008;Automatic;No;Petrol;1.4;Front;4;210000 km;4;4;Left wheel;Golden;-
12853;Sedan;KIA;Optima;2014;Automatic;Yes;Petrol;2;Front;4;40067 km;4;4;Left wheel;Silver;638
13270;Sedan;HYUNDAI;Sonata;2015;Automatic;Yes;Hybrid;2.4;Front;4;135730 km;4;0;Left wheel;Silver;441
6696;Sedan;HONDA;Cr-v;2018;Automatic;Yes;Petrol;1.5;4x4;4;56261 km;4;12;Left wheel;Blue;831
15322;Hatchback;AUDI;A7;2014;Automatic;Yes;Petrol;3;4x4;6;140507 km;4;0;Left wheel;Silver;915
17553;Jeep;BMW;X5;2015;Automatic;Yes;Diesel;3;4x4;6;196614 km;4;0;Left wheel;Black;1104
14906;Sedan;HYUNDAI;Sonata;2011;Automatic;Yes;Hybrid;2.4;Front;4;0 km;4;0;Left wheel;Silver;831
15403;Sedan;FORD;Escape;2008;Automatic;Yes;Hybrid;0.4;Front;4;209843 km;4;0;Left wheel;Grey;289
4859;Jeep;SSANGYONG;Korando;2013;Automatic;Yes;Diesel;2;Front;4;98895 km;4;4;Left wheel;White;640
2857;Sedan;MERCEDES-BENZ;E 350 212;2010;Tiptronic;Yes;Petrol;3.5;Rear;6;135000 km;4;8;Left wheel;Blue;1399
18588;Sedan;HYUNDAI;Elantra;2010;Automatic;Yes;Petrol;1.6;Front;4;101387 km;4;4;Left wheel;Silver;687
10158;Sedan;AUDI;A6;2008;Tiptronic;Yes;Petrol;3.2;4x4;6;268800 km;4;8;Left wheel;Silver;-
13071;Jeep;BMW;X5;2003;Tiptronic;Yes;Petrol;3;4x4;6;206000 km;4;12;Left wheel;Silver;-
11722;Jeep;LEXUS;RX 450;2016;Automatic;Yes;Hybrid;3.5;4x4;6;27038 km;4;12;Left wheel;White;690
11616;Sedan;TOYOTA;Camry;2014;Automatic;Yes;Hybrid;2.5;Front;4;109798 km;4;12;Left wheel;White;394
285;Sedan;FORD;Fusion;2015;Automatic;Yes;Hybrid;2;Front;4;88795 km;4;0;Left wheel;Black;382
3291;Minivan;NISSAN;Elgrand;2004;Tiptronic;Yes;Petrol;3.5;Rear;6;122000 km;4;12;Right-hand drive;Green;-
2125;Sedan;MERCEDES-BENZ;E 350;2010;Automatic;Yes;Petrol;6.2;Rear;8;274771 km;4;12;Left wheel;White;2410
4799;Sedan;TOYOTA;Camry;2012;Variator;Yes;Hybrid;2.5;Front;4;204800 km;4;8;Left wheel;Black;-
7734;Jeep;VAZ;2121 (Niva);1999;Manual;No;Petrol;1.7;4x4;4;10000 km;2;0;Left wheel;White;-
14188;Hatchback;CHEVROLET;Volt;2017;Automatic;Yes;Hybrid;1.5;Front;4;125358 km;4;0;Left wheel;Grey;382
13434;Jeep;VAZ;2121 (Niva);1993;Manual;No;Petrol;1.6;4x4;4;120000 km;2;0;Left wheel;White;-
3435;Sedan;VOLKSWAGEN;Jetta;2011;Tiptronic;No;Petrol;2;Front;6;97600 km;4;10;Left wheel;Black;-
9639;Hatchback;CHEVROLET;Volt;2013;Automatic;Yes;Hybrid;1.4;Front;4;181360 km;4;12;Left wheel;Blue;474
18303;Jeep;LEXUS;RX 450;2010;Automatic;Yes;Hybrid;3.5;4x4;6;317470 km;4;12;Left wheel;Grey;1399
394;Jeep;MITSUBISHI;Pajero Mini;2006;Manual;No;Petrol;0.7;4x4;3;314000 km;2;2;Right-hand drive;Silver;-
2024;Jeep;MERCEDES-BENZ;R 350;2011;Automatic;Yes;Diesel;3;4x4;6;174101 km;4;12;Left wheel;Black;1018
5456;Jeep;NISSAN;X-Terra;2004;Tiptronic;No;CNG;3.3;4x4;6;999999999 km;4;8;Left wheel;Black;-
9297;Jeep;HYUNDAI;Tucson;2016;Automatic;Yes;Diesel;2;Front;4;187270 km;4;4;Left wheel;Silver;891
13964;Hatchback;HONDA;Insight;2012;Automatic;No;Hybrid;1.5;Front;4;102000 km;4;8;Right-hand drive;Silver;1268
2943;Jeep;CHEVROLET;Captiva;2011;Automatic;Yes;Diesel;2.2;Front;4;70479 km;4;4;Left wheel;Grey;769
10800;Sedan;CHEVROLET;Cruze;2014;Automatic;Yes;Diesel;2;Front;4;60550 km;4;4;Left wheel;Red;639
4254;Jeep;CHEVROLET;Captiva;2007;Automatic;Yes;Diesel;2;Front;4;63558 km;4;4;Left wheel;White;1282
443;Jeep;BMW;X6;2011;Automatic;Yes;Petrol;4.4;4x4;8;147677 km;4;12;Left wheel;Red;1451
9966;Jeep;TOYOTA;Land Cruiser 100;2001;Manual;No;Diesel;4.2 Turbo;4x4;6;30300 km;4;4;Left wheel;White;-
942;Jeep;KIA;Sportage;2012;Tiptronic;Yes;Diesel;2.0 Turbo;Front;4;65000 km;4;5;Left wheel;White;642
6260;Sedan;VAZ;2107;2005;Manual;No;Petrol;1.7;Rear;4;125000 km;4;0;Left wheel;White;-
13867;Universal;HYUNDAI;H1;2017;Automatic;Yes;Diesel;2.5;Front;4;100900 km;4;4;Left wheel;Silver;1249
14976;Sedan;KIA;Optima;2017;Tiptronic;Yes;Petrol;2.4;Front;4;30000 km;4;0;Left wheel;White;-
18253;Hatchback;TOYOTA;Ist;2003;Automatic;No;Petrol;1.5;Front;4;130000 km;4;4;Right-hand drive;White;-
10628;Hatchback;SUBARU;Outback;2013;Tiptronic;Yes;Petrol;2.5;4x4;4;116800 km;4;6;Left wheel;Beige;-
2323;Minivan;TOYOTA;Estima;1997;Automatic;No;Petrol;2.4;4x4;4;230000 km;4;2;Right-hand drive;Silver;5679
17298;Jeep;FORD;Explorer;2015;Automatic;Yes;Petrol;3.5;Front;4;108748 km;4;4;Left wheel;Black;1273
10544;Jeep;HYUNDAI;Santa FE;2016;Automatic;Yes;Diesel;2;Front;4;116365 km;4;4;Left wheel;Black;891
7806;Hatchback;OPEL;Corsa;1995;Manual;No;Petrol;1.4;Front;4;100000 km;2;2;Left wheel;Grey;-
6834;Sedan;HYUNDAI;Sonata;2016;Automatic;Yes;LPG;2;Front;4;57491 km;4;4;Left wheel;Red;891
15283;Jeep;MERCEDES-BENZ;GLE 400;2017;Tiptronic;Yes;Petrol;3.0 Turbo;4x4;6;81600 km;4;12;Left wheel;Black;1481
17054;Coupe;BMW;428 i;2014;Tiptronic;Yes;Petrol;2.0 Turbo;Rear;4;112000 km;2;12;Left wheel;Black;639
15488;Sedan;SUBARU;XV;2014;Automatic;Yes;Hybrid;2;4x4;4;270472 km;4;0;Left wheel;White;333
703;Sedan;HYUNDAI;Sonata SPORT;2015;Tiptronic;Yes;Petrol;2.4;Front;4;67840 km;4;8;Left wheel;Black;900
11438;Sedan;MERCEDES-BENZ;E 350;2013;Tiptronic;Yes;Petrol;3.5;Rear;6;150000 km;4;12;Left wheel;Black;-
18553;Sedan;TOYOTA;Prius;2008;Automatic;No;Hybrid;1.5;Front;4;224000 km;4;2;Left wheel;Black;-
3870;Sedan;BMW;328;1998;Manual;No;Petrol;2.8;Rear;6;123000 km;4;6;Left wheel;Blue;-
9334;Jeep;LEXUS;RX 350;2010;Automatic;Yes;Petrol;3.5;4x4;6;197044 km;4;12;Left wheel;Grey;1399
1166;Coupe;PORSCHE;911;2013;Automatic;Yes;Petrol;3.4;Rear;6;94010 km;2;12;Left wheel;Black;1028
11367;Minivan;HYUNDAI;H1;2014;Automatic;Yes;Diesel;2.5;Front;4;184700 km;4;4;Left wheel;Silver;777
8141;Sedan;BMW;528;1999;Manual;No;Petrol;2.8;Rear;6;26000 km;4;6;Left wheel;Black;-
13352;Sedan;HYUNDAI;Sonata;2014;Automatic;Yes;LPG;2;Front;4;377942 km;4;4;Left wheel;Silver;639
519;Sedan;BMW;520;1989;Manual;No;Petrol;2;Rear;6;199000 km;4;0;Left wheel;White;-
10905;Sedan;NISSAN;Sentra;2017;Automatic;Yes;Petrol;1.8;Front;4;0 km;4;12;Left wheel;Grey;924
163;Minivan;KIA;Carnival grand;2009;Automatic;Yes;Diesel;2.9;Front;4;84176 km;4;6;Left wheel;White;1361
18160;Hatchback;VOLKSWAGEN;Polo;1998;Manual;No;Petrol;1.4;Front;4;194000 km;4;2;Left wheel;Blue;-
16205;Sedan;KIA;Optima;2014;Tiptronic;No;Petrol;2.4;Front;4;172800 km;4;16;Left wheel;Silver;-
16868;Sedan;DAEWOO;Lacetti;2009;Automatic;Yes;Petrol;2;Front;4;74540 km;4;4;Left wheel;Silver;966
13271;Hatchback;TOYOTA;Prius;2012;Automatic;Yes;Petrol;1.8;Front;4;119230 km;4;8;Left wheel;Silver;586
1821;Sedan;HYUNDAI;Sonata;2016;Automatic;Yes;LPG;2;Front;4;410884 km;4;4;Left wheel;White;891
11405;Hatchback;HONDA;FIT;2014;Automatic;No;Hybrid;1.3;Front;4;139000 km;4;2;Right-hand drive;Silver;1109
2203;Minivan;HONDA;Fred;2012;Automatic;No;Petrol;1.5;Front;4;100000 km;4;2;Right-hand drive;Black;1268
14597;Jeep;TOYOTA;Tacoma;2014;Automatic;Yes;Petrol;2.7;Rear;4;64994 km;4;12;Left wheel;Grey;832
14120;Sedan;HYUNDAI;Elantra;2011;Automatic;Yes;Petrol;1.6;Front;4;154900 km;4;4;Left wheel;White;583
14222;Jeep;FORD;Escape;2009;Automatic;Yes;Hybrid;2.5;Front;4;184000 km;4;12;Left wheel;Grey;1185
897;Sedan;TOYOTA;Prius;2011;Automatic;No;Hybrid;1.8;Front;4;284800 km;4;8;Left wheel;Black;-
203;Jeep;HYUNDAI;Santa FE;2015;Automatic;Yes;Diesel;2;Front;4;185811 km;4;4;Left wheel;Black;765
10719;Hatchback;MAZDA;Demio;2002;Tiptronic;No;LPG;1.5;Front;4;1000 km;4;4;Right-hand drive;Blue;-
7665;Jeep;NISSAN;Juke;2013;Tiptronic;Yes;Petrol;1.6 Turbo;4x4;4;120000 km;4;8;Left wheel;White;-
11576;Hatchback;NISSAN;Tiida;2007;Automatic;No;Petrol;1.5;Front;4;150300 km;4;6;Right-hand drive;Grey;-
6334;Hatchback;NISSAN;Note;2005;Variator;No;Petrol;1.5;Front;4;190000 km;4;2;Right-hand drive;Beige;-
16920;Jeep;SSANGYONG;Actyon;2016;Automatic;Yes;Petrol;1.6;Front;4;115031 km;4;4;Left wheel;Blue;730
17340;Sedan;HYUNDAI;Elantra;2013;Automatic;Yes;Petrol;1.6;Front;4;196448 km;4;4;Left wheel;Black;530
1629;Jeep;CHEVROLET;Cruze;2014;Automatic;Yes;Petrol;1.8;Front;4;45680 km;4;4;Left wheel;Brown;584
6602;Sedan;MERCEDES-BENZ;E 350;2014;Automatic;Yes;Petrol;3.5;Rear;6;146395 km;4;12;Left wheel;Grey;1053
16479;Universal;SUBARU;Crosstrek;2018;Variator;Yes;Petrol;2;4x4;4;30400 km;4;10;Left wheel;Orange;1079
16112;Hatchback;HONDA;FIT;2007;Automatic;No;Petrol;1.3;Front;4;0 km;4;4;Right-hand drive;Silver;-
9071;Sedan;TOYOTA;Corolla;2010;Automatic;Yes;Petrol;1.8;Front;4;346078 km;4;12;Left wheel;Blue;761
18785;Hatchback;TOYOTA;Aqua;2014;Automatic;No;Hybrid;1.5;Front;4;95000 km;4;6;Right-hand drive;Brown;1266
8609;Goods wagon;VOLKSWAGEN;Caddy;2007;Manual;No;Diesel;2.0 Turbo;Rear;4;240000 km;4;2;Left wheel;White;-
4589;Sedan;TOYOTA;Tacoma;2019;Automatic;Yes;Petrol;3.5;4x4;6;18555 km;4;12;Left wheel;Black;1820
5688;Sedan;MERCEDES-BENZ;E 350;2006;Tiptronic;Yes;Petrol;3.5;Rear;6;177000 km;4;12;Left wheel;Silver;-
15455;Jeep;CHEVROLET;Niva;2007;Manual;Yes;Petrol;1.7;4x4;4;11000 km;4;6;Left wheel;Black;-
4648;Hatchback;KIA;RIO;2016;Manual;No;Petrol;1.2;Front;4;170000 km;4;2;Left wheel;Silver;-
2369;Sedan;HYUNDAI;Santa FE;2018;Automatic;Yes;Petrol;2.4;Front;4;10990 km;4;12;Left wheel;Black;1277
14752;Jeep;MERCEDES-BENZ;G 550;2015;Automatic;Yes;Petrol;5.5;4x4;8;59083 km;4;12;Left wheel;White;1951
6306;Hatchback;SUBARU;Forester stb;2000;Manual;No;Petrol;2.0 Turbo;4x4;4;123333 km;4;1;Right-hand drive;Black;-
15110;Hatchback;TOYOTA;Aqua;2013;Automatic;Yes;Hybrid;1.5;Front;4;113400 km;4;4;Left wheel;Blue;502
